YEAR,PERWT,BPL,ANCESTR1,OCC1990
2000,3889.86,26,50,274
2000,2692.98,48,22,318
2000,3191.68,25,51,55
2000,1895.06,25,50,318
2000,1695.58,12,51,337
2000,2194.28,18,89,679
2000,1496.1,300,84,217
2000,1196.88,25,939,889
2000,2493.5,12,22,276
2000,2194.28,12,902,14
2000,2194.28,17,142,799
2000,897.66,26,50,436
2000,1196.88,18,22,64
2000,1695.58,12,900,453
2000,1994.8,26,32,22
2000,2194.28,26,32,804
2000,1196.88,250,271,22
2000,1795.32,250,271,13
2000,2692.98,36,902,385
2000,1695.58,36,902,435
2000,997.4,40,920,577
2000,598.44,18,32,276
2000,1695.58,200,22,154
2000,1895.06,12,21,486
2000,1695.58,12,51,37
2000,1496.1,12,32,256
2000,1196.88,39,32,234
2000,1496.1,6,902,376
2000,1695.58,37,97,275
2000,1994.8,36,148,719
2000,2892.46,36,32,385
2000,2992.2,17,32,183
2000,1196.88,12,902,465
2000,1496.1,39,51,228
2000,1396.36,36,32,64
2000,1496.1,39,22,779
2000,1895.06,39,24,447
2000,1695.58,55,32,185
2000,2194.28,25,50,4
2000,1496.1,250,271,22
2000,1895.06,9,920,799
2000,1695.58,9,939,785
2000,1695.58,12,22,275
2000,1994.8,24,32,22
2000,2692.98,12,902,379
2000,3191.68,26,902,875
2000,2194.28,12,902,356
2000,1994.8,29,26,75
2000,1895.06,28,50,157
2000,1994.8,12,750,276
2000,4488.3,51,195,8
2000,2393.76,17,924,243
2000,2194.28,29,50,804
2000,2294.02,25,32,274
2000,1695.58,36,50,277
2000,3191.68,250,200,804
2000,2194.28,6,21,13
2000,897.66,36,148,243
2000,2393.76,48,148,22
2000,2692.98,36,50,187
2000,1196.88,34,32,234
2000,1496.1,26,32,375
2000,1496.1,12,902,14
2000,1496.1,18,32,316
2000,1695.58,12,939,373
2000,1496.1,12,939,376
2000,1795.32,12,902,779
2000,2992.2,12,902,253
2000,1695.58,33,26,33
2000,1695.58,12,11,378
2000,2493.5,37,22,25
2000,2692.98,12,22,23
2000,1795.32,17,148,87
2000,1695.58,17,22,156
2000,2194.28,34,88,804
2000,2194.28,12,50,23
2000,1795.32,48,125,13
2000,1994.8,24,32,575
2000,2194.28,25,935,7
2000,1994.8,42,97,243
2000,1895.06,12,32,13
2000,2493.5,42,51,303
2000,2692.98,18,50,313
2000,2692.98,300,360,534
2000,1895.06,300,360,405
2000,1795.32,28,920,188
2000,1196.88,13,924,505
2000,2393.76,12,50,33
2000,2692.98,36,32,668
2000,1496.1,12,32,164
2000,1496.1,12,291,274
2000,1396.36,12,291,156
2000,2493.5,21,920,207
2000,1695.58,22,89,25
2000,1795.32,36,50,25
2000,3590.64,21,924,95
2000,3989.6,12,924,35
2000,3490.9,12,902,274
2000,1496.1,36,931,678
2000,1695.58,12,22,208
2000,2493.5,34,939,486
2000,1994.8,55,142,7
2000,2194.28,36,32,7
2000,2194.28,29,50,156
2000,2493.5,24,50,96
2000,1795.32,37,50,889
2000,1396.36,17,51,469
2000,2692.98,300,234,154
2000,3191.68,17,234,383
2000,2692.98,12,50,518
2000,1895.06,36,50,316
2000,1895.06,36,50,276
2000,2194.28,25,26,64
2000,3490.9,42,148,7
2000,4488.3,31,902,366
2000,2493.5,36,32,84
2000,1994.8,12,935,376
2000,2194.28,42,902,905
2000,1496.1,12,902,23
2000,1695.58,12,902,804
2000,1396.36,12,939,385
2000,2194.28,12,22,485
2000,2692.98,54,920,276
2000,698.18,45,97,479
2000,1496.1,36,920,375
2000,1994.8,39,87,514
2000,2194.28,12,50,447
2000,2194.28,12,50,804
2000,1496.1,12,939,889
2000,1795.32,12,51,64
2000,1396.36,37,50,276
2000,1695.58,40,50,95
2000,1994.8,26,935,479
2000,1994.8,26,26,207
2000,2194.28,39,87,275
2000,2194.28,200,291,276
2000,3091.94,17,924,178
2000,1895.06,54,920,275
2000,2393.76,48,939,318
2000,1396.36,12,902,21
2000,1496.1,51,902,337
2000,2493.5,34,51,228
2000,2194.28,39,32,503
2000,1994.8,39,32,84
2000,2493.5,12,142,405
2000,3191.68,200,210,585
2000,2892.46,200,210,479
2000,2393.76,17,82,444
2000,2892.46,51,902,853
2000,3490.9,12,902,337
2000,2493.5,200,210,405
2000,1496.1,12,51,376
2000,1695.58,37,88,22
2000,498.7,25,22,243
2000,498.7,48,920,275
2000,2992.2,18,88,558
2000,3191.68,27,142,453
2000,498.7,24,21,436
2000,1994.8,36,939,274
2000,1895.06,36,939,95
2000,2194.28,12,939,22
2000,1994.8,21,939,29
2000,698.18,12,924,376
2000,797.92,9,924,159
