"YEAR","DATANUM","SERIAL","HHWT","GQ","PERNUM","PERWT","AGE","BPL","BPLD","ANCESTR1","ANCESTR1D","OCC1990"
2000,1,547566,1895.06,1,1,1595.84,38,300,30025,234,2340,804
2000,1,547965,2194.28,1,2,1695.58,45,300,30050,237,2370,447
2000,1,548364,1695.58,1,1,1695.58,46,300,30030,290,2900,804
2000,1,548364,1695.58,1,4,2294.02,49,300,30030,290,2900,308
2000,1,548663,1695.58,1,1,1695.58,47,300,30030,235,2350,518
2000,1,548862,2194.28,1,3,3091.94,41,250,25000,291,2910,514
2000,1,549461,1396.36,1,3,1097.14,30,300,30030,235,2350,804
2000,1,550159,1097.14,1,3,1695.58,31,300,30050,237,2370,156
2000,1,550159,1097.14,1,4,1695.58,30,300,30050,237,2370,313
2000,1,550757,1396.36,1,1,1097.14,31,300,30030,235,2350,804
2000,1,551755,2393.76,1,1,1895.06,49,300,30050,237,2370,736
2000,1,552353,2294.02,1,1,2194.28,37,300,30025,290,2900,405
2000,1,552852,3590.64,1,1,2992.2,45,300,30025,234,2340,783
2000,1,552852,3590.64,1,2,2792.72,38,300,30025,234,2340,453
2000,1,553151,2194.28,1,2,1895.06,37,250,25000,271,2710,95
2000,1,554049,1895.06,1,2,2194.28,40,300,30025,234,2340,888
2000,1,555046,1097.14,1,2,1296.62,46,300,30025,234,2340,337
2000,1,570107,1695.58,1,2,1396.36,38,34,3400,271,2710,313
2000,1,570705,1695.58,1,5,1097.14,31,34,3400,271,2710,313
2000,1,577388,3291.42,1,1,2194.28,42,300,30025,234,2340,405
2000,1,577388,3291.42,1,5,2493.5,43,300,30025,234,2340,567
2000,1,577388,3291.42,1,6,2393.76,46,300,30025,234,2340,888
2000,1,579482,2194.28,1,2,4388.56,30,34,3400,290,2900,418
2000,1,582076,1595.84,1,2,1994.8,35,300,30025,234,2340,779
2000,1,586464,1695.58,1,1,1895.06,37,300,30005,231,2310,243
2000,1,594344,1595.84,1,1,1396.36,42,300,30050,237,2370,368
2000,1,596338,4687.78,1,1,4687.78,49,300,30050,237,2370,435
2000,1,598333,797.92,1,1,1097.14,41,300,30025,234,2340,447
2000,1,603021,2992.2,1,1,2194.28,50,6,600,291,2910,337
2000,1,609105,2593.24,3,1,2593.24,34,200,20000,210,2101,436
2000,1,609205,2194.28,1,2,1994.8,34,300,30025,234,2340,804
2000,1,611100,1097.14,1,1,2194.28,41,36,3600,290,2900,575
2000,1,611100,1097.14,1,2,797.92,42,53,5300,290,2900,799
